name,latitude,longitude,避難対象_洪水,避難対象_崖崩れ、土石流及び地滑り,避難対象_高潮,避難対象_地震,避難対象_津波,避難対象_大規模な火事,避難対象_内水氾濫,避難対象_火山現象,エレベーター有/避難スペースが１階,スロープ等,点字ブロック,だれでもトイレ,その他
羽沢小学校（校庭）,35.6702001,139.5384476,0,0,0,1,0,0,0,0,0,0,0,0,
第二中学校（校庭）,35.6873593,139.5435855,0,0,0,1,0,0,0,0,0,0,0,0,
第三中学校（校庭）,35.6917457,139.575538,0,0,0,1,0,0,0,0,0,0,0,0,
第四中学校（校庭）,35.6961864,139.556523,0,0,0,1,0,0,0,0,0,0,0,0,
第五中学校（校庭）,35.6710505,139.5773191,0,0,0,1,0,0,0,0,0,0,0,0,
第六中学校（校庭）,35.6808551,139.5756411,0,0,0,1,0,0,0,0,0,0,0,0,
第七中学校（校庭）,35.6772408,139.5324701,0,0,0,1,0,0,0,0,0,0,0,0,
井口特設ｸﾞﾗｳﾝﾄﾞ,35.6930366,139.5499042,0,0,0,1,0,0,0,0,0,0,0,0,
都立三鷹中等教育学校（校庭）,35.6793718,139.5669059,0,0,0,1,0,0,0,0,0,0,0,0,
大成高等学校グラウンド,35.6889096,139.5589341,0,0,0,1,0,0,0,0,0,0,0,0,
明星学園小中学校（校庭）,35.695237,139.5774017,0,0,0,1,0,0,0,0,0,0,0,0,
明星学園高等学校（校庭）,35.6931732,139.5733937,0,0,0,1,0,0,0,0,0,0,0,0,
立教女学院（校庭）,35.6943402,139.5895145,0,0,0,1,0,0,0,0,0,0,0,0,
久我山ゴルフ,35.6824607,139.5918813,0,0,0,1,0,0,0,0,0,0,0,0,
仙川ゴルフ練習場,35.6650292,139.5784388,0,0,0,1,0,0,0,0,0,0,0,0,
武蔵グランドゴルフ,35.6767139,139.5851182,0,0,0,1,0,0,0,0,0,0,0,0,
花と緑の広場,35.683232,139.588236,0,0,0,1,0,0,0,0,0,0,0,0,
新川あおやぎ公園,35.668593,139.574957,0,0,0,1,0,0,0,0,0,0,0,0,
牟礼の里公園,35.6885961,139.581732,0,0,0,1,0,0,0,0,0,0,0,0,
農業公園,35.681555,139.565227,0,0,0,1,0,0,0,0,0,0,0,0,
仙川公園,35.679857,139.568985,0,0,0,1,0,0,0,0,0,0,0,0,
東京都立井の頭恩賜公園（うち井の頭文化園、西園）,35.69743194,139.5711773,0,0,0,1,0,1,0,0,0,0,0,0,
公団新川・島屋敷通り団地,35.67476917,139.5714881,0,0,0,1,0,1,0,0,0,0,0,0,
国際基督教大学・東京神学大学・ルーテル学院大学・東京都立野川公園,35.687537,139.529551,0,0,0,1,0,1,0,0,0,0,0,0,
国立天文台,35.6754467,139.5376697,0,0,0,1,0,1,0,0,0,0,0,0,
東京都立武蔵野の森公園,35.67729335,139.5280982,0,0,0,1,0,1,0,0,0,0,0,0,
東京都立神代植物公園,35.66588,139.551468,0,0,0,1,0,1,0,0,0,0,0,0,
調布市緑丘小学校周辺,35.669953,139.584749,0,0,0,1,0,1,0,0,0,0,0,0,
東京都立武蔵野中央公園,35.718656,139.558562,0,0,0,1,0,1,0,0,0,0,0,0,
杏林大学井の頭キャンパス,35.685441,139.569587,0,0,0,1,0,0,0,0,0,0,0,0,
三鷹中央防災公園,35.682239,139.561765,0,0,0,1,0,0,0,0,0,0,0,0,
第一小学校（体育館・校舎）,35.682296,139.570024,1,1,0,0,0,0,1,0,1,1,0,1,
第二小学校（体育館・校舎）,35.685884,139.542515,1,1,0,0,0,0,1,0,0,1,0,1,
第三小学校（体育館・校舎）,35.695787,139.557615,1,1,0,0,0,0,1,0,1,1,0,1,
第四小学校（体育館・校舎）,35.6955,139.568699,1,1,0,0,0,0,1,0,0,0,0,1,
第五小学校（体育館・校舎）,35.693077,139.581802,1,1,0,0,0,0,1,0,0,1,0,0,
第六小学校（体育館・校舎）,35.688358,139.564904,1,1,0,0,0,0,1,0,0,1,0,1,
第七小学校（体育館・校舎）,35.692744,139.55448,1,1,0,0,0,0,1,0,0,1,0,1,
大沢台小学校（体育館・校舎）,35.680332,139.5364,1,1,0,0,0,0,1,0,0,1,0,0,
高山小学校（体育館・校舎）,35.6897234,139.5772663,1,1,0,0,0,0,1,0,1,1,0,1,
南浦小学校（体育館・校舎）,35.686005,139.560089,1,1,0,0,0,0,1,0,0,1,0,1,
中原小学校（体育館・校舎）,35.67034,139.571229,1,1,0,0,0,0,1,0,0,0,0,1,
北野小学校（体育館・校舎）,35.67986,139.58213,1,1,0,0,0,0,1,0,0,1,0,0,
井口小学校（体育館・校舎）,35.692286,139.54448,1,1,0,0,0,0,1,0,0,0,0,1,
東台小学校（体育館・校舎）,35.66738,139.571903,1,1,0,0,0,0,1,0,1,1,0,1,
